#{"t_start": 1721475946.5817971, "env_id": "None"}
r,l,t
11.0,11,0.490076
34.0,34,1.886055
22.0,22,2.791234
20.0,20,3.610174
40.0,40,5.330786
14.0,14,5.996293
17.0,17,6.687735
13.0,13,7.22184
14.0,14,7.795194
50.0,50,10.307469
34.0,34,11.786342
19.0,19,12.566054
201.0,201,22.070056
18.0,18,23.476287
41.0,41,25.23982
14.0,14,25.814192
21.0,21,26.675227
15.0,15,27.287292
14.0,14,28.371605
56.0,56,30.747546
53.0,53,33.586488
20.0,20,34.402931
13.0,13,34.935632
12.0,12,35.427168
32.0,32,36.822612
201.0,201,46.10864
201.0,201,55.547399
22.0,22,56.927688
39.0,39,58.529189
44.0,44,60.851994
105.0,105,65.799098
23.0,23,66.741524
81.0,81,70.430074
73.0,73,73.511887
14.0,14,74.404511
201.0,201,83.824876
82.0,82,87.17615
79.0,79,91.024134
91.0,91,95.398249
67.0,67,98.626158
201.0,201,108.168752
192.0,192,117.400307
57.0,57,119.810484
25.0,25,120.832653
78.0,78,124.696234
30.0,30,126.844918
201.0,201,137.146682
102.0,102,142.343759
79.0,79,145.656935
78.0,78,149.875146
146.0,146,157.989879
63.0,63,160.655212
201.0,201,171.050932
171.0,171,180.737756
201.0,201,191.206611
201.0,201,201.601531
201.0,201,211.907768
107.0,107,216.95818
179.0,179,226.050634
201.0,201,235.995978
201.0,201,246.658762
45.0,45,248.492858
201.0,201,259.169612
201.0,201,269.926061
201.0,201,280.831873
201.0,201,291.375971
201.0,201,302.128485
201.0,201,312.880946
201.0,201,323.666758
201.0,201,334.462598
201.0,201,345.491673
201.0,201,356.150422
201.0,201,367.033231
201.0,201,377.602953
201.0,201,387.926577
201.0,201,398.417235
201.0,201,408.65179
201.0,201,418.217077
201.0,201,427.775563
201.0,201,437.147749
201.0,201,446.788292
201.0,201,458.330602
201.0,201,468.606568
165.0,165,476.664541
201.0,201,487.022755
201.0,201,497.588752
201.0,201,507.912912
201.0,201,518.148195
201.0,201,528.148084
201.0,201,537.854866
201.0,201,547.661766
44.0,44,550.510599
80.0,80,553.778774
201.0,201,564.135625
97.0,97,569.196625
34.0,34,571.342027
201.0,201,581.894759
201.0,201,592.531052
201.0,201,603.228738
96.0,96,608.293867
201.0,201,619.171818
201.0,201,629.349773
201.0,201,639.577699
201.0,201,650.681633
201.0,201,661.621601
38.0,38,663.268552
201.0,201,674.528899
201.0,201,685.891531
201.0,201,697.116802
125.0,125,703.495164
201.0,201,715.278985
201.0,201,725.850396
64.0,64,728.555219
201.0,201,739.654476
201.0,201,750.835938
201.0,201,762.136898
124.0,124,768.667622
27.0,27,771.167055
37.0,37,772.68425
201.0,201,783.972793
201.0,201,795.000278
201.0,201,805.658249
201.0,201,816.602669
201.0,201,827.500916
95.0,95,832.726699
201.0,201,843.867059
134.0,134,850.893694
25.0,25,853.485423
201.0,201,864.875252
201.0,201,876.196731
201.0,201,887.491816
21.0,21,888.35227
69.0,69,892.720504
201.0,201,904.164136
201.0,201,915.430762
201.0,201,926.607393
201.0,201,937.900777
201.0,201,948.614864
62.0,62,951.134026
201.0,201,961.78108
201.0,201,972.609257
201.0,201,983.028574
20.0,20,983.842559
201.0,201,995.197241
43.0,43,996.948016
201.0,201,1007.25071
201.0,201,1017.472116
25.0,25,1018.494373
201.0,201,1029.543998
70.0,70,1033.732941
38.0,38,1035.289265
62.0,62,1039.212557
12.0,12,1039.704584
22.0,22,1040.688211
201.0,201,1051.946757
201.0,201,1063.357559
44.0,44,1066.692174
201.0,201,1078.060706
34.0,34,1079.455459
201.0,201,1090.601084
27.0,27,1091.79605
201.0,201,1102.963279
23.0,23,1105.349205
19.0,19,1106.213758
16.0,16,1106.863993
59.0,59,1110.757078
21.0,21,1111.612675
12.0,12,1112.102238
54.0,54,1114.39889
35.0,35,1117.40292
28.0,28,1118.554135
37.0,37,1120.151921
14.0,14,1122.230829
13.0,13,1122.76405
20.0,20,1123.584325
26.0,26,1124.647749
201.0,201,1135.932407
16.0,16,1136.584646
13.0,13,1137.117847
105.0,105,1142.925285
36.0,36,1145.874589
18.0,18,1146.606709
15.0,15,1147.222221
17.0,17,1147.913674
201.0,201,1159.281855
40.0,40,1162.334106
201.0,201,1173.736238
201.0,201,1185.09623
