#{"t_start": 1726758586.7371736, "env_id": "None"}
r,l,t
-17.871691,12,0.51533
-12.991237,4,0.678015
-5.242154,1,0.718662
-7.884232,3,0.841038
-17.323372,4,1.004251
-25.031479,27,2.115275
-19.932836,27,3.227099
-13.849812,3,3.34961
-10.529796,1,3.390259
-11.526343,1,3.430931
-20.217939,9,3.798868
-13.85641,2,3.881197
-10.348387,4,4.048799
-8.867134,1,4.089957
-12.222876,2,4.20949
-17.95206,12,4.704017
-27.076607,8,5.033928
-7.391354,2,5.115767
-10.529796,1,5.15644
-17.648037,4,5.319772
-5.242154,1,5.454581
-11.526343,1,5.49525
-25.102938,11,5.947223
-10.734709,1,5.987896
-21.070985,11,6.437004
-10.529796,1,6.478173
-5.242154,1,6.518869
-12.570741,2,6.600219
-7.202691,2,6.681556
-11.957135,2,6.766572
-14.409373,5,6.971582
-20.541644,27,8.076046
-11.839651,8,8.502034
-17.028181,6,8.747057
-7.942497,1,8.78773
-10.529796,1,8.828402
-11.41625,2,8.910492
-31.375881,27,10.015595
-37.026267,24,11.087037
-13.133617,3,11.209493
-7.942497,1,11.250166
-7.942497,1,11.290838
-12.570741,2,11.372678
-24.667879,27,12.472977
-16.342416,6,12.76739
-7.202691,2,12.848734
-7.503062,2,12.930575
-23.025894,27,14.037022
-11.526343,1,14.077691
-10.529796,1,14.118834
-10.734709,1,14.160002
-12.857581,4,14.32269
-10.678064,1,14.36607
-12.972804,2,14.447386
-10.529796,1,14.488058
-10.529796,1,14.52873
-11.692286,1,14.569922
-8.709116,3,14.691943
-18.820558,27,15.800136
-26.00458,7,16.089325
-10.678064,1,16.129997
-8.867134,1,16.264955
-13.998202,27,17.407554
-10.980745,27,18.51588
-26.74491,9,18.884874
-19.355346,27,19.989229
-29.312314,13,20.518408
-16.577064,5,20.721831
-18.341336,9,21.145221
-11.142786,7,21.432897
-11.446392,6,21.772682
-11.692286,1,21.813381
-10.529796,1,21.854053
-0.003297,27,22.955758
-29.606541,21,23.812514
-7.503062,2,23.893362
-8.867134,1,23.934626
-13.398467,4,24.097311
-16.390554,3,24.219303
-13.150655,5,24.422663
-13.098717,2,24.504007
-26.740527,21,25.407767
-12.222876,2,25.492059
-11.692286,1,25.533227
-11.526343,1,25.573898
-12.857581,4,25.736587
-5.242154,1,25.777258
-14.029243,3,25.899276
-11.709561,2,25.981061
-29.944313,27,27.174899
-11.326344,6,27.42
-22.615634,27,28.526525
-32.626397,20,29.343883
-10.678064,1,29.384554
-5.242154,1,29.425634
-16.95973,27,30.595909
-13.85641,2,30.677253
-8.867134,1,30.71817
-16.634316,6,30.965678
-5.242154,1,31.008296
-12.280295,27,32.113386
-10.096456,5,32.318731
-15.387538,13,32.948785
-17.323372,4,33.111946
-13.001533,3,33.233591
-15.816947,3,33.356103
-11.41625,2,33.437943
-11.509212,3,33.561475
-8.867134,1,33.602643
-14.294633,4,33.839962
-17.955137,7,34.126678
-13.147355,27,35.239976
-14.532343,26,36.301365
-13.85641,2,36.382709
-7.391354,2,36.464553
-12.437085,2,36.545894
-15.649857,27,37.646283
-11.259128,5,37.946191
-11.526343,1,37.986862
-19.533046,11,38.503635
-13.883357,12,38.992131
-14.745938,6,39.239154
-5.242154,1,39.279832
-10.529796,1,39.321486
-22.270938,27,40.431504
-11.526343,1,40.472176
-16.390554,3,40.595245
-10.904881,5,40.802534
-39.474672,23,41.745359
-18.11263,27,42.903758
-17.496544,13,43.52552
-20.094832,6,43.769028
-17.896251,6,44.015079
-10.529796,1,44.056247
-10.529796,1,44.097415
-14.262312,25,45.121008
-26.058507,20,45.942282
-28.31665,27,47.101927
-17.180126,10,47.508466
-19.438591,6,47.751978
-13.780258,3,47.875397
-15.816947,3,47.998904
-5.242154,1,48.04034
-16.895328,27,49.24523
-5.242154,1,49.286397
-10.678064,1,49.327565
-10.734709,1,49.368263
-11.988781,27,50.471478
-11.526343,1,50.512652
-10.447005,4,50.731819
-11.526343,1,50.77249
-10.487712,5,50.977835
-9.35189,3,51.100929
-11.526343,1,51.142594
-9.076613,27,52.258128
-10.529796,1,52.298773
-8.450565,27,53.407125
-11.692286,1,53.447798
-19.045893,10,53.855628
-12.222876,2,53.93798
-8.867134,1,53.979648
-9.972204,5,54.277279
-14.296859,2,54.358601
-27.002242,27,55.526311
-7.942497,1,55.567479
-5.242154,1,55.608647
-15.796873,27,56.713218
-10.678064,1,56.753918
-6.450647,18,57.488986
-7.942497,1,57.53013
-10.678064,1,57.570331
-11.526343,1,57.611511
-23.489211,10,58.018362
-11.578328,8,58.346195
-8.867134,1,58.38786
-7.942497,1,58.428035
-5.242154,1,58.469203
-10.980683,18,59.254875
-12.679425,27,60.452506
-9.146398,27,61.561952
-5.242154,1,61.603177
-9.426136,27,62.707505
-10.827671,2,62.789229
-15.211897,6,63.033262
-7.942497,1,63.073437
8.323753,27,64.237303
-7.884232,3,64.36078
-5.242154,1,64.402077
9.740974,27,65.601066
14.926124,27,66.703673
18.622281,27,67.87257
-8.867134,1,67.913738
-13.301337,10,68.323365
-4.059915,27,69.427463
-7.391354,2,69.511307
-8.867134,1,69.553475
7.012034,27,70.747648
-5.242154,1,70.788816
9.993015,27,71.952753
-8.867134,1,71.993424
-11.526343,1,72.034592
-9.129242,3,72.15973
-7.942497,1,72.2009
0.95844,27,73.309825
-0.688253,27,74.41347
14.019674,27,75.519353
-5.242154,1,75.560521
-10.007962,8,75.984963
-2.959992,27,77.139048
1.566064,27,78.239455
4.610513,27,79.347898
-8.709116,3,79.471902
38.407962,27,80.634127
-11.526343,1,80.67477
-5.242154,1,80.715465
15.385274,27,81.915729
38.483784,27,83.021435
19.942509,27,84.12834
27.743964,27,85.281049
23.873213,27,86.388093
10.81398,27,87.585563
8.260763,27,88.749033
10.454512,27,89.857049
17.898118,27,90.959606
-11.692286,1,91.001275
34.663978,27,92.195142
13.364863,27,93.354229
24.543768,27,94.456825
39.616547,27,95.563869
-7.391354,2,95.64571
32.572499,27,96.747968
32.917598,27,98.006542
21.115933,27,99.111435
41.785393,27,100.220519
29.636023,27,101.377141
30.388657,27,102.47937
48.242928,27,103.679903
-11.692286,1,103.720574
31.142595,27,104.82641
21.928681,27,105.979718
25.676658,27,107.083789
-11.692286,1,107.125444
50.79202,27,108.323655
53.066583,27,109.424745
20.079168,27,110.58181
-10.678064,1,110.62248
25.011651,27,111.726978
37.189887,27,112.836472
30.55356,27,114.098097
19.875669,27,115.201252
34.242326,27,116.305766
-11.692286,1,116.346437
41.624849,27,117.446571
-7.202691,2,117.527912
40.763283,27,118.687972
33.739683,27,119.888375
-5.242154,1,119.929543
21.202778,27,121.036289
51.75361,27,122.144341
45.368986,27,123.302997
55.26225,27,124.500166
20.816349,27,125.606301
50.916581,27,126.763638
40.411613,27,127.876451
