#{"t_start": 1726663952.224692, "env_id": "None"}
r,l,t
-8.474705,1,0.069439
-6.069645,1,0.110607
-17.880133,7,0.392858
-16.011482,4,0.553038
-10.450499,1,0.593214
-30.037047,7,0.876941
-2.41939,12,1.36171
-17.200228,4,1.522413
-29.793891,15,2.127405
-26.682701,13,2.652644
-10.450499,1,2.693343
-14.404818,2,2.774164
-8.474705,1,2.81434
-19.931363,8,3.136133
-9.144062,1,3.176808
-23.092616,5,3.38116
19.007697,8,3.705011
-8.899679,1,3.745683
-20.5772,7,4.028857
-35.163181,27,5.266101
-31.234033,9,5.723418
1.272337,8,6.048793
-10.551606,1,6.089512
-23.306426,12,6.571261
-0.684295,13,7.095478
-10.450499,1,7.136147
-10.450499,1,7.176327
-10.450499,1,7.217494
-6.069645,1,7.258168
-14.377337,2,7.339006
-11.756688,2,7.419363
-18.36818,6,7.660914
-9.371897,2,7.741737
-42.684226,18,8.552549
-10.551606,1,8.592749
-32.326632,16,9.239033
-32.345745,13,9.767188
-21.587401,7,10.051896
-16.973046,8,10.374795
-12.057513,2,10.455143
-8.899679,1,10.495788
-15.945468,3,10.617667
-13.04711,2,10.698042
-9.144062,1,10.835792
-12.047282,2,10.91664
-9.371897,2,10.996985
-12.290825,3,11.118325
5.867666,9,11.482903
-20.811644,7,11.764022
-14.160435,2,11.844869
-20.175746,8,12.169757
-14.0569,3,12.290781
-8.899679,1,12.330968
6.85081,12,12.854223
24.659613,21,13.700515
-9.371897,2,13.781363
-10.551606,1,13.822036
-17.580019,5,14.023334
-11.350004,1,14.064018
-29.832788,11,14.506362
-33.094753,11,14.951768
-9.144062,1,14.991945
-6.424526,11,15.435894
3.189712,12,15.920053
21.084336,12,16.501703
-10.551606,1,16.542374
-15.945468,3,16.662406
4.308029,11,17.165734
-16.011482,4,17.328891
-9.144062,1,17.369067
-8.474705,1,17.409242
-21.728329,15,18.016279
-28.365646,12,18.499176
-6.069645,1,18.541361
-6.069645,1,18.582036
-14.160435,2,18.662884
-12.33664,2,18.743235
-22.212922,8,19.065245
-17.907737,5,19.267145
0.355502,15,19.872759
-17.87278,3,19.993784
-8.899679,1,20.033959
0.725345,12,20.51837
-10.551606,1,20.558544
-2.764249,11,21.036163
-11.333198,5,21.23917
-12.33664,2,21.319498
-8.474705,1,21.36017
-8.474705,1,21.496824
-6.069645,1,21.537001
-11.048364,3,21.658024
-26.612373,8,21.985184
-8.474705,1,22.025859
-9.144062,1,22.06653
-8.474705,1,22.106239
2.600008,9,22.468798
-13.083146,3,22.589353
-10.450499,1,22.630493
-10.450499,1,22.671193
17.488817,27,23.759147
8.474433,13,24.286018
-10.551606,1,24.326194
-9.144062,1,24.366866
-14.570528,2,24.447713
-21.883573,6,24.689699
-0.897935,14,25.297342
-11.523376,1,25.338012
10.914535,10,25.741253
-13.04711,2,25.821487
-17.235881,27,27.008053
-11.756688,2,27.089397
-11.350004,1,27.129616
19.194327,11,27.571536
-12.047282,2,27.652442
-9.144062,1,27.693115
2.565821,6,27.935995
11.836148,19,28.705694
-11.350004,1,28.746366
-25.447613,14,29.469441
-11.776957,2,29.550278
-3.975416,14,30.113704
-13.043027,3,30.234743
-12.057513,2,30.315591
7.068909,11,30.759957
-34.252781,14,31.32317
-23.187199,9,31.689049
-9.371897,2,31.769897
-11.523376,1,31.810487
-11.523376,1,31.850665
-21.43021,9,32.31002
-14.160435,2,32.390891
-11.350004,1,32.431038
-9.319428,2,32.511886
-5.650023,20,33.325556
-9.319428,2,33.406404
-0.217533,11,34.041347
-11.776957,2,34.12218
-5.179555,13,34.645932
-9.144062,1,34.686109
2.914911,9,35.0487
-9.371897,2,35.129547
-10.450499,1,35.169696
-13.707565,3,35.290901
-12.057513,2,35.371749
-11.048364,3,35.493245
-11.756688,2,35.574093
-18.730677,4,35.735293
-0.242827,8,36.059617
-9.371897,2,36.139969
-10.551606,1,36.180641
1.088707,19,36.947176
-12.33664,2,37.027997
18.029494,14,37.688527
3.910336,12,38.280646
-14.160435,2,38.362017
-9.144062,1,38.402661
-6.657465,2,38.483549
-25.853596,10,38.88683
-8.474705,1,38.92698
-8.474705,1,38.967682
-14.570528,2,39.048524
-0.901497,17,39.732646
-9.371897,2,39.813521
-13.453423,3,39.934021
-10.450499,1,39.974716
-6.069645,1,40.014897
0.365752,10,40.419958
-9.144062,1,40.460651
-11.350004,1,40.501323
-12.057513,2,40.583659
-6.56193,14,41.153444
-0.604117,12,41.638525
-16.181632,5,41.842885
-29.577334,9,42.28072
12.173559,14,42.849428
-14.160435,2,42.930197
6.185052,7,43.306847
-2.365654,8,43.629246
2.140522,7,43.911966
3.669228,5,44.113362
-11.350004,1,44.154566
7.391873,7,44.436798
-6.069645,1,44.477961
11.159927,6,44.71904
-8.474705,1,44.759221
-17.054251,5,44.961583
1.212024,12,45.446178
-11.756688,2,45.526503
5.571813,12,46.011687
-16.976524,4,46.172395
-1.107557,17,46.926031
-11.350004,1,46.967199
-13.951948,3,47.088283
7.007559,6,47.329807
7.054146,5,47.531707
8.860243,6,47.773745
0.029867,14,48.337112
6.062114,5,48.63431
-6.069645,1,48.675628
-15.383204,5,48.87899
-2.268867,12,49.364252
6.028039,6,49.608253
13.390123,6,49.849772
6.652282,11,50.295694
-8.899679,1,50.33587
7.744902,7,50.672105
-11.350004,1,50.712283
-8.474705,1,50.75246
-11.523376,1,50.793102
-1.620954,8,51.115035
5.521656,10,51.517642
-6.069645,1,51.557818
1.977253,6,51.801353
8.62218,6,52.047895
2.543676,7,52.335248
18.67663,7,52.616481
7.220858,5,52.818741
-6.950849,5,53.021149
2.780096,7,53.303857
10.454445,11,53.84202
6.704512,7,54.12377
-9.688905,4,54.285475
7.007559,6,54.528509
7.712757,6,54.823602
5.147318,7,55.106322
3.669228,5,55.307201
-9.319428,2,55.389064
12.865388,6,55.631111
10.035568,7,55.916526
3.669228,5,56.118398
6.212867,6,56.361471
8.128062,6,56.604127
6.227542,6,56.846174
4.562507,6,57.088086
7.054146,5,57.28964
6.676164,6,57.532171
11.163809,9,57.894746
-1.591527,6,58.136271
7.054146,5,58.337158
4.431743,6,58.57882
-9.144062,1,58.61952
4.277081,6,58.914918
11.969528,6,59.250623
9.443837,8,59.573539
6.973319,6,59.816062
3.669228,5,60.018498
-6.657465,2,60.099375
4.935767,7,60.38157
7.416467,5,60.582942
7.054146,5,60.785811
7.220858,5,60.989136
18.395079,13,61.513071
4.277081,6,61.755119
-9.688905,4,61.91632
8.62218,6,62.158403
6.71494,6,62.400946
7.220858,5,62.602344
6.062114,5,62.803796
7.416467,5,63.057821
18.163176,9,63.421782
4.409601,6,63.663336
7.054146,5,63.865235
3.669228,5,64.067569
4.205478,6,64.308627
6.251267,6,64.646605
8.62218,6,64.887634
4.427136,8,65.212246
3.669228,5,65.413126
-10.450499,1,65.453302
8.088043,7,65.735497
6.71494,6,65.979034
4.403879,6,66.221999
5.591352,6,66.464075
6.062114,5,66.665947
-11.350004,1,66.706131
3.669228,5,66.90747
3.323992,6,67.221828
3.669228,5,67.422679
7.054146,5,67.624159
11.163809,9,67.987703
-10.551606,1,68.027878
-16.10204,6,68.270008
6.973319,6,68.511368
3.841103,7,68.794115
3.669228,5,68.996046
